"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","PROD_ID","VALUE","VALUE_PART",
"7","0.1uF","C-EU0.1UFC0603","C0603","C5, C6, C9, C10, C11, C12, C13","CAPACITOR, European symbol","490-6051-1-ND","","Murata","GCM188R71E104KA57D","","","",
"4","100k","R-EU_P100KR0603","R0603","R6, R7, R10, R11","RESISTOR, European symbol","P100KDBCT-ND","","Panasonic","ERA-3AEB104V","","","100k",
"4","10k","R-EU_10KR0603","R0603","R1, R2, R4, R5","RESISTOR, European symbol","P10.0KHCT-ND","","Panasonic","ERJ-3EKF1002V","","","10k",
"1","10k","R-EU_P10KR0603","R0603","R3","RESISTOR, European symbol","P10KDBCT-ND","","Panasonic","ERA-3AEB103V","","","10k",
"1","1k","R-EU_1KR0603","R0603","R12","RESISTOR, European symbol","311-1KLDCT-ND","","Yageo","AC0603FR-071KL","","","1k",
"2","1k","R-EU_P1KR0603","R0603","R8, R9","RESISTOR, European symbol","P1.0KDBCT-ND","","Panasonic","ERA-3AEB102V","","","1k",
"6","1uF","C-EU1UFC0603","C0603","C1, C2, C3, C4, C7, C8","CAPACITOR, European symbol","1276-6524-1-ND","","Samsung","1276-6524-1-ND","","","",
"3","2-56","MOUNTING_HOLE2_NP","2_56","H1, H2, H3","Genaric Mechanical Mounting Hole","","","","","","","",
"2","2N7002","MOSFET-NCH-2N7002PW","SOT323","Q1, Q2","N-channel MOSFETs","2N7002W-FDICT-ND","","Diodes Incorporated","2N7002W-7-F","TRANS-11151","2N7002","",
"1","ADS1115","ADS1115","VSSOP_10","U7","ADS1115 - Sigma Delta ADC","296-38849-1-ND","","TI","ADS1115IDGSR","","","",
"1","CONN_42.54_SCREW","CONN_42.54_SCREW","1X04_SCREW","J1","Genaric 4 pin connector","ED10563-ND","","On Shore","OSTVN04A150","","","",
"1","DMG3404","MOSFET-NCH-DMG3404L","SOT23-3","Q3","N-channel MOSFETs","DMG3404L-7DICT-ND","","Diodes Incorporated","DMG3404L-7","","DMG3404","",
"1","JUMPER-SMT_3_1-NC_PASTE_SILK","JUMPER-SMT_3_1-NC_PASTE_SILK","SMT-JUMPER_3_1-NC_PASTE_SILK","JP1","Normally closed solder jumper (1 of 2 connections)","","","","","","","",
"1","LTC2050HV","LTC2050HV","SOT23-5","U2","LTC2050 -Single Micropower Zero Drift Op-Amp","LTC2050HVIS5#TRPBFCT-ND","LTC2050HV","LT","LTC2050HVIS5#TRPBF","","","",
"2","LTC2054","LTC2054","SOT23-5","U3, U4","LTC2054 -Single Micropower Zero Drift Op-Amp","LTC2054HS5#TRMPBFCT-ND","LTC2054","LT","LTC2054HS5#TRMPBF","","","",
"1","MAX6070AAUT18","MAX6070AAUT18","SOT23-6L","U8","MAX6070 Low Noise high precision voltage referance","MAX6070BAUT18+TCT-ND","","Maxim","MAX6070BAUT18+T","","","",
"1","STP-135SR","STP-135SR","TO-46","U1","ZTP-135SR - Thermopile Temp Sensor with integrated thermistor","235-1330-ND","","Amphenol","ZTP-135SR","","","",
"1","TPS60403","TPS60403","SOT23-5","U5","TPS6040x - Unregulated Charge Pump Voltage Inverter","296-27005-1-ND","","TI","TPS60403DBVR","","","",
"1","TPS79733","TPS79733","DCK_R-PDSO-G5","U6","TPS797xx, Ultra low power linear voltage regulator, fixed voltages of 1.8v, 3v, 3.3v","296-11990-1-ND","","TI","TPS79733DCKR","","","",
